ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual,ride_length,weekday
DFA092B30564E786,electric_bike,"2023-12-19 00:46:00","2023-12-19 00:59:00","Halsted St & 96th St",20105,"Public Rack - Racine Ave & 109th Pl",877,42,-88,42,-88,member,13,Tuesday
178B7C0578929C26,electric_bike,"2023-12-21 20:20:00","2023-12-21 20:36:00","Wabash Ave & Roosevelt Rd",TA1305000002,"McClurg Ct & Ohio St",TA1306000029,42,-88,42,-88,member,16,Thursday
B2B1EB75D068CBE9,electric_bike,"2023-12-29 22:06:00","2023-12-29 22:19:00","Wabash Ave & Roosevelt Rd",TA1305000002,"McClurg Ct & Ohio St",TA1306000029,42,-88,42,-88,member,13,Friday
754C14A4BBEF9093,electric_bike,"2023-12-22 13:43:00","2023-12-22 14:03:00","DuSable Lake Shore Dr & Belmont Ave",TA1309000049,"Kimball Ave & Belmont Ave",KA150400009X,42,-88,42,-88,member,20,Friday
157AFFD52EEB69A2,classic_bike,"2023-12-09 13:41:00","2023-12-09 13:51:00","Wabash Ave & Roosevelt Rd",TA1305000002,"Adler Planetarium",13431,42,-88,42,-88,member,10,Saturday
5319D9DC6BD3B9BE,electric_bike,"2023-12-20 10:57:00","2023-12-20 11:07:00","Green St & Washington Blvd",13053,"McClurg Ct & Ohio St",TA1306000029,42,-88,42,-88,member,10,Wednesday
0216035FB93D9829,classic_bike,"2023-12-12 08:49:00","2023-12-12 08:56:00","Wabash Ave & Roosevelt Rd",TA1305000002,"Adler Planetarium",13431,42,-88,42,-88,member,7,Tuesday
270F6A1229BF4A3B,classic_bike,"2023-12-31 10:35:00","2023-12-31 10:42:00","Wabash Ave & Roosevelt Rd",TA1305000002,"Adler Planetarium",13431,42,-88,42,-88,member,7,Sunday
9B3A528EE87A13F6,classic_bike,"2023-12-21 08:34:00","2023-12-21 08:42:00","Wabash Ave & Roosevelt Rd",TA1305000002,"Adler Planetarium",13431,42,-88,42,-88,member,8,Thursday
F4E822D9449D414F,classic_bike,"2023-12-05 08:49:00","2023-12-05 08:57:00","Wabash Ave & Roosevelt Rd",TA1305000002,"Adler Planetarium",13431,42,-88,42,-88,member,8,Tuesday
E66AC2F8D07DE15E,classic_bike,"2023-12-20 08:33:00","2023-12-20 08:42:00","Wabash Ave & Roosevelt Rd",TA1305000002,"Adler Planetarium",13431,42,-88,42,-88,member,9,Wednesday
C1D4E8071D5B080D,classic_bike,"2023-12-06 09:10:00","2023-12-06 09:33:00","Wilton Ave & Diversey Pkwy",TA1306000014,"Morgan St & Lake St*",chargingstx4,42,-88,42,-88,member,23,Wednesday
4C123CA25FE28E89,classic_bike,"2023-12-15 07:16:00","2023-12-15 07:25:00","Morgan St & 31st St",TA1308000046,"Ashland Ave & Archer Ave",15442,42,-88,42,-88,member,9,Friday
28437027152CDAC4,electric_bike,"2023-12-17 11:49:00","2023-12-17 11:58:00","Kedzie Ave & Palmer Ct",13292,"Milwaukee Ave & Wabansia Ave",13243,42,-88,42,-88,member,9,Sunday
E9C9A17F4EDBAA2C,classic_bike,"2023-12-21 16:38:00","2023-12-21 16:52:00","LaSalle St & Jackson Blvd",TA1309000004,"Racine Ave & Congress Pkwy",TA1306000025,42,-88,42,-88,member,14,Thursday
B08197DB24344E0A,electric_bike,"2023-12-19 08:24:00","2023-12-19 08:26:00","LaSalle St & Jackson Blvd",TA1309000004,"LaSalle St & Washington St",13006,42,-88,42,-88,member,2,Tuesday
DC99DA1E6BB1D186,electric_bike,"2023-12-04 08:19:00","2023-12-04 08:22:00","LaSalle St & Jackson Blvd",TA1309000004,"LaSalle St & Washington St",13006,42,-88,42,-88,member,3,Monday
204AF700432CEDB5,electric_bike,"2023-12-18 08:21:00","2023-12-18 08:24:00","LaSalle St & Jackson Blvd",TA1309000004,"LaSalle St & Washington St",13006,42,-88,42,-88,member,3,Monday
F816E5F0226B014F,electric_bike,"2023-12-06 08:24:00","2023-12-06 08:28:00","LaSalle St & Jackson Blvd",TA1309000004,"LaSalle St & Washington St",13006,42,-88,42,-88,member,4,Wednesday
C3E47D7A79C8E4A6,classic_bike,"2023-12-06 14:59:00","2023-12-06 15:04:00","Green St & Washington Blvd",13053,"LaSalle St & Washington St",13006,42,-88,42,-88,member,5,Wednesday
AD05B7693E6A694F,electric_bike,"2023-12-29 11:37:00","2023-12-29 11:42:00","Green St & Washington Blvd",13053,"Carpenter St & Huron St",13196,42,-88,42,-88,member,5,Friday
89EAFD10B34ED2B1,classic_bike,"2023-12-01 18:07:00","2023-12-01 18:31:00","LaSalle St & Jackson Blvd",TA1309000004,"Ashland Ave & Blackhawk St",13224,42,-88,42,-88,member,24,Friday
9152A81EAD160007,classic_bike,"2023-12-24 11:24:00","2023-12-24 11:40:00","Wabash Ave & Roosevelt Rd",TA1305000002,"Clinton St & Madison St",TA1305000032,42,-88,42,-88,member,16,Sunday
F74AB465D7642B87,classic_bike,"2023-12-27 08:08:00","2023-12-27 08:21:00","Wabash Ave & Roosevelt Rd",TA1305000002,"Clinton St & Madison St",TA1305000032,42,-88,42,-88,member,13,Wednesday
F938B063E5974CFF,electric_bike,"2023-12-09 13:15:00","2023-12-09 13:34:00","DuSable Lake Shore Dr & Belmont Ave",TA1309000049,"DuSable Lake Shore Dr & Monroe St",13300,42,-88,42,-88,member,19,Saturday
3E3A88C7E1CB52DE,classic_bike,"2023-12-06 16:49:00","2023-12-06 16:56:00","LaSalle St & Jackson Blvd",TA1309000004,"Clinton St & Madison St",TA1305000032,42,-88,42,-88,member,7,Wednesday
